label,Lx0,Ly0,Lx1,Ly1,Lx2,Ly2,Lx3,Ly3,Lx4,Ly4,Lx5,Ly5,Lx6,Ly6,Lx7,Ly7,Lx8,Ly8,Lx9,Ly9,Lx10,Ly10,Lx11,Ly11,Lx12,Ly12,Lx13,Ly13,Lx14,Ly14,Lx15,Ly15,Lx16,Ly16,Lx17,Ly17,Lx18,Ly18,Lx19,Ly19,Lx20,Ly20,Rx0,Ry0,Rx1,Ry1,Rx2,Ry2,Rx3,Ry3,Rx4,Ry4,Rx5,Ry5,Rx6,Ry6,Rx7,Ry7,Rx8,Ry8,Rx9,Ry9,Rx10,Ry10,Rx11,Ry11,Rx12,Ry12,Rx13,Ry13,Rx14,Ry14,Rx15,Ry15,Rx16,Ry16,Rx17,Ry17,Rx18,Ry18,Rx19,Ry19,Rx20,Ry20
HELLO,0.0,0.0,0.162077,0.002389,0.316801,-0.145223,0.39809,-0.301463,0.47407,-0.414967,0.34334,-0.459998,0.452942,-0.626842,0.537538,-0.729432,0.6063,-0.804834,0.284935,-0.546113,0.410987,-0.730938,0.50092,-0.849937,0.5831,-0.950034,0.211665,-0.607886,0.334056,-0.793353,0.430945,-0.908818,0.515588,-1.0,0.11711,-0.648958,0.227956,-0.812036,0.314449,-0.917601,0.39598,-0.99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.172674,0.000493,0.337642,-0.152141,0.413953,-0.315307,0.473141,-0.438527,0.365233,-0.459458,0.483424,-0.632373,0.56848,-0.755339,0.634774,-0.859724,0.309705,-0.535081,0.440203,-0.721096,0.524878,-0.850339,0.598815,-0.965374,0.24044,-0.59331,0.366489,-0.77461,0.458053,-0.895941,0.535247,-1.0,0.14759,-0.632478,0.260729,-0.783896,0.341627,-0.887882,0.415472,-0.977195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.202199,0.002676,0.368135,-0.160477,0.449392,-0.320714,0.506604,-0.452885,0.402706,-0.436264,0.514136,-0.608684,0.585858,-0.721456,0.641853,-0.82274,0.347297,-0.520047,0.473784,-0.715393,0.555072,-0.842185,0.623699,-0.9545,0.276036,-0.578413,0.399251,-0.774947,0.48593,-0.894682,0.561284,-1.0,0.179107,-0.610597,0.281282,-0.773908,0.355507,-0.869864,0.424939,-0.953633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.199543,-0.015269,0.361909,-0.172585,0.442254,-0.324013,0.502493,-0.44981,0.405599,-0.457627,0.511639,-0.637576,0.581074,-0.744529,0.637635,-0.839576,0.343464,-0.540446,0.464364,-0.734873,0.546594,-0.852841,0.619723,-0.960573,0.266917,-0.592402,0.38555,-0.782455,0.470436,-0.897467,0.54425,-1.0,0.168724,-0.615127,0.267102,-0.775715,0.340516,-0.876451,0.409672,-0.965908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.200222,-0.004337,0.373451,-0.162541,0.457094,-0.322508,0.526051,-0.451033,0.428709,-0.462469,0.542983,-0.636818,0.618672,-0.749972,0.680398,-0.853304,0.368174,-0.541202,0.495665,-0.731703,0.579556,-0.851702,0.654475,-0.960547,0.293109,-0.593818,0.415277,-0.786048,0.503703,-0.900947,0.583286,-1.0,0.195167,-0.621968,0.296355,-0.789654,0.370972,-0.887693,0.4424,-0.971188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.196491,-0.011881,0.364527,-0.17142,0.447647,-0.325631,0.518836,-0.443681,0.421904,-0.462751,0.532906,-0.6286,0.60331,-0.740996,0.659963,-0.845536,0.364485,-0.541624,0.486786,-0.725327,0.564775,-0.842337,0.634428,-0.951318,0.289707,-0.59179,0.406975,-0.781569,0.489393,-0.896201,0.56301,-1.0,0.190468,-0.615812,0.286573,-0.774773,0.35741,-0.866978,0.4255,-0.950359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.206106,-0.01414,0.371583,-0.188561,0.454243,-0.336369,0.510241,-0.46053,0.409252,-0.456309,0.524084,-0.626053,0.595687,-0.740203,0.65141,-0.846821,0.356284,-0.531496,0.482946,-0.721175,0.564054,-0.841278,0.633906,-0.951345,0.285976,-0.582422,0.408004,-0.776596,0.495205,-0.893451,0.572675,-1.0,0.191885,-0.608424,0.289611,-0.775188,0.361927,-0.869991,0.430926,-0.952807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.196735,-0.011904,0.36866,-0.177018,0.460567,-0.321349,0.519652,-0.43781,0.426349,-0.463003,0.536661,-0.632916,0.605745,-0.744674,0.659935,-0.849776,0.374831,-0.539001,0.498641,-0.727192,0.579262,-0.846226,0.649085,-0.95736,0.306563,-0.589341,0.429352,-0.779303,0.514904,-0.894451,0.589177,-1.0,0.21543,-0.614632,0.316657,-0.777695,0.388823,-0.87091,0.457974,-0.953943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.199103,-0.020103,0.369907,-0.185825,0.45893,-0.328215,0.514523,-0.441474,0.428024,-0.467128,0.535607,-0.635788,0.603108,-0.746092,0.656561,-0.850345,0.375528,-0.54138,0.497697,-0.72821,0.577429,-0.845315,0.6469,-0.954372,0.305572,-0.589434,0.427131,-0.77918,0.512594,-0.894359,0.587533,-1.0,0.211561,-0.611794,0.312933,-0.776088,0.38548,-0.869463,0.455571,-0.952628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.055418,-0.34003,0.198524,-0.592827,0.330162,-0.732793,0.440443,-0.828763,0.4452,-0.615467,0.636744,-0.757859,0.670183,-0.8925,0.649852,-1.0,0.490854,-0.48639,0.681932,-0.630048,0.711997,-0.782374,0.680308,-0.903961,0.511112,-0.332863,0.70676,-0.444896,0.731471,-0.586735,0.696712,-0.710069,0.499496,-0.144067,0.658066,-0.225146,0.694474,-0.329909,0.673643,-0.425634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.107878,-0.094542,0.193653,-0.281825,0.224943,-0.445314,0.190795,-0.567675,0.121964,-0.492,0.131811,-0.694217,0.12805,-0.822785,0.120751,-0.934554,0.037038,-0.513377,0.038876,-0.730443,0.035636,-0.875628,0.030903,-1.0,-0.040161,-0.493481,-0.044188,-0.698295,-0.041808,-0.831749,-0.041174,-0.945798,-0.112867,-0.434855,-0.122684,-0.585643,-0.12771,-0.68326,-0.13262,-0.766765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.105938,-0.120143,0.162913,-0.314033,0.182429,-0.467144,0.153484,-0.582494,0.07735,-0.516784,0.081607,-0.708773,0.075293,-0.828752,0.064379,-0.937352,-0.005184,-0.524048,-0.010545,-0.734355,-0.019194,-0.875288,-0.031186,-1.0,-0.080645,-0.493093,-0.09183,-0.690528,-0.09601,-0.818638,-0.10399,-0.931042,-0.152488,-0.427482,-0.168493,-0.577988,-0.173398,-0.676135,-0.180253,-0.762429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.117074,-0.126464,0.177913,-0.32254,0.197075,-0.475293,0.174491,-0.576699,0.069357,-0.516746,0.071071,-0.705983,0.065907,-0.824156,0.05724,-0.930437,-0.021756,-0.524916,-0.033421,-0.732278,-0.03793,-0.873841,-0.040909,-1.0,-0.103128,-0.4947,-0.122151,-0.691216,-0.122672,-0.820309,-0.120404,-0.931865,-0.178337,-0.429864,-0.201829,-0.591688,-0.203453,-0.693687,-0.196939,-0.778504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.121266,-0.117541,0.188969,-0.303782,0.209405,-0.456668,0.187921,-0.56846,0.073963,-0.519368,0.073269,-0.707946,0.066089,-0.828333,0.055057,-0.937392,-0.019804,-0.530864,-0.031045,-0.738237,-0.036569,-0.876662,-0.041577,-1.0,-0.105642,-0.507271,-0.120478,-0.7027,-0.121124,-0.830824,-0.11951,-0.941857,-0.182848,-0.453242,-0.201612,-0.61771,-0.201524,-0.723491,-0.193866,-0.811555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.121411,-0.118523,0.187076,-0.30599,0.205401,-0.457585,0.182301,-0.564954,0.073134,-0.515946,0.07188,-0.704237,0.063751,-0.824958,0.05162,-0.93331,-0.022095,-0.526965,-0.033974,-0.73587,-0.039476,-0.876225,-0.044176,-1.0,-0.109435,-0.503003,-0.125696,-0.700077,-0.125933,-0.829357,-0.123159,-0.94059,-0.187982,-0.44889,-0.207407,-0.615669,-0.20715,-0.723367,-0.19852,-0.812913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.153155,-0.126726,0.258088,-0.338427,0.312437,-0.494323,0.34876,-0.616574,0.252366,-0.568571,0.342747,-0.784647,0.401846,-0.907368,0.450642,-1.0,0.224654,-0.595753,0.330037,-0.807189,0.40014,-0.910749,0.466302,-0.998326,0.178029,-0.609764,0.277846,-0.809513,0.347419,-0.904323,0.411544,-0.98206,0.110664,-0.611624,0.183247,-0.769591,0.233708,-0.845594,0.277962,-0.901797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.119467,-0.101606,0.223914,-0.307704,0.28264,-0.469559,0.326527,-0.595385,0.212052,-0.54684,0.305399,-0.767853,0.364994,-0.892658,0.410234,-0.989095,0.194027,-0.573014,0.304473,-0.786945,0.378885,-0.901544,0.443811,-1.0,0.159134,-0.57821,0.266753,-0.766811,0.344596,-0.8567,0.411719,-0.931637,0.106099,-0.564586,0.187441,-0.711579,0.243185,-0.777266,0.286942,-0.819954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.187567,-0.081087,0.318581,-0.276257,0.388773,-0.44516,0.440038,-0.58938,0.316463,-0.507887,0.413519,-0.683539,0.488075,-0.793025,0.552097,-0.886495,0.260766,-0.56989,0.370734,-0.758989,0.454086,-0.879031,0.529639,-0.981896,0.189948,-0.607272,0.298151,-0.786842,0.382554,-0.902835,0.460141,-1.0,0.097053,-0.613864,0.181262,-0.776434,0.24718,-0.884002,0.312217,-0.970533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.171146,-0.038366,0.312388,-0.22443,0.386297,-0.385225,0.43979,-0.523355,0.311406,-0.504703,0.421053,-0.681721,0.494583,-0.799273,0.553481,-0.90049,0.259613,-0.565347,0.384563,-0.75891,0.473153,-0.885819,0.551902,-0.996875,0.194404,-0.595349,0.312785,-0.779867,0.401501,-0.899244,0.480884,-1.0,0.109766,-0.593126,0.199885,-0.752907,0.269649,-0.859422,0.337691,-0.945327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.163197,-0.02302,0.302804,-0.192235,0.381581,-0.328913,0.437427,-0.448073,0.3511,-0.425168,0.462176,-0.607961,0.549497,-0.742624,0.618939,-0.862796,0.302296,-0.495462,0.432623,-0.690235,0.530508,-0.830137,0.619826,-0.962563,0.235124,-0.550667,0.36368,-0.739755,0.463146,-0.876699,0.551879,-1.0,0.142222,-0.588731,0.252244,-0.750241,0.337659,-0.852784,0.421766,-0.940514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.174996,-0.024793,0.308565,-0.189415,0.376674,-0.333981,0.430888,-0.462877,0.366398,-0.461644,0.473913,-0.636595,0.54741,-0.756102,0.604803,-0.867342,0.320585,-0.531611,0.447764,-0.718036,0.531268,-0.838552,0.605583,-0.956094,0.255374,-0.581276,0.381568,-0.773303,0.468631,-0.890983,0.547569,-1.0,0.164709,-0.610933,0.272316,-0.78091,0.353349,-0.882515,0.433966,-0.97248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELLO,0.0,0.0,0.170597,-0.02235,0.307465,-0.187104,0.374589,-0.332891,0.427872,-0.458427,0.365924,-0.46407,0.473579,-0.635671,0.545608,-0.752853,0.601921,-0.861162,0.31653,-0.533951,0.441776,-0.719108,0.524423,-0.837935,0.598085,-0.952581,0.248429,-0.579517,0.369351,-0.77284,0.45554,-0.890157,0.534227,-1.0,0.155557,-0.601199,0.255669,-0.768073,0.331174,-0.864767,0.406613,-0.951328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
